Runde,Agent,Gesinnung,Gesprochene Worte,Entscheidung
1,AgentA,ökologisch,"Ist dies nicht so? Ihr sagt: Nein, das ist nicht richtig!",nicht kooperieren
1,AgentB,ökonomisch,"Wir haben den Ausgangsstand von 486 unvollständige Nachrichten gesichtet. Diese sind vom Typ ""Großartig"".",kooperieren
2,AgentA,ökologisch,"Die Umweltbehörde hat zulässige Daten über die Tiere aufgenommen. Wir können das nicht zugeben, weil wir nur einen Teil des Bildschirmes nutzen.",kooperieren
2,AgentB,ökonomisch,Die Möglichkeit von Investitionsprozessen auf dem Markt ist unser Ziel. Einerseits müssen wir zentraler Position haben und andererseiten muss es zu den Aufgaben einer öffentlichen Finanzverwaltung gelten.,kooperieren
3,AgentA,ökologisch,"Es gibt viele verschiedene Wege, um ökoorientierte Initiativen zu investieren. Immer mehr Unternehmen sind sich für eine ökozukunftssicherere Welt beziehungsweise für die Zukünftige Wirtschaft.",kooperieren
3,AgentB,ökonomisch,"Das ist eine falsche Bewertung von Investitionsgründen! Die Umweltsammlung wurde tatsächlich durch Aufzeichnungen der Tieren erfasst, aber keine unerlaubten Daten sind dabei.",nicht kooperieren
4,AgentA,ökologisch,Das ist kein falsches Beispiel für den Einfluss des Themas auf die Verständigung zwischen Wissenschaft und Wirtschaft. Dieser Prozess kann als Teil einer systemischen Reform angesehen werden.,kooperieren
4,AgentB,ökonomisch,"Das ist keine richtige ÖKOINVESTISSION. Die meisten betreibenden Unternehmen versuchen nicht auf einfache Basis, Ökonomen auszusuchten oder Ihnen einen schlecht strukturierten Unternehmensprofil zu geben, sondern wissen, dass es immer noch sehr viel Aufwand und Risiko darstellt.",kooperieren
5,AgentA,ökologisch,Sie haben eindeutig von einer Übernahme oder Einbindung eines externen Investmentmanagern (EIMs) getan. Diese Kosten werden durch die Konzentration des Immobilienbesitzes auf das gesamte Gebäude bzw.,nicht kooperieren
5,AgentB,ökonomisch,"Die Wirtschaftspolitik wird von einer breiten Mehrheit im Westen nicht nur konsequent durchgeführt (wie es schon immer geschehen), sondern auch verbindlich angewandt – in Deutschland sind sie sogar nach dem Abschluss eines Berichts von der Kieler Hochschule 2013 bei der Bundesregierung noch fortgesetzt worden. In diesem Zusammenhang wird seit jeher davon ausgegangen, dass das eigene Geld eine wichtige Rolle spielt, um die Zukunftsaussichten zu bestimmen.",nicht kooperieren
6,AgentA,ökologisch,"Es scheint sich hier ein wenig um das richtige Wortverständnis geendet hat - was ich als ""vorherser"" bezeichnen würde. Wir können jederzeit die Politik selbständig anpassen und dann auch weiterhin durchführen.",nicht kooperieren
6,AgentB,ökonomisch,"Ich hoffe nicht, dass Sie Ihr eigenes Unternehmen in den Eimer bekommen wollen? Die Grundzüge einer Wirtschaftsinformatik sind schon aus dem Allgemeinen Englischen bekannt.",nicht kooperieren
7,AgentA,ökologisch,"Das ist eine richtige Frage! Es gibt viele Gründe für die Unterschiede zwischen einer Ökolessie und einem öko-Wirtschaftsmodell, aber diese werden hier nicht diskutiert.",kooperieren
7,AgentB,ökonomisch,"Um eine optimale Wirtschaftsstruktur zu haben, sind investitionsbedingte Innovationen notwendig. Das ist nicht nur im Sinne von Fähigkeiten oder Ressourcen, sondern also in Frage kommendem, dass eine effiziente Infrastruktur für den wirtschaftlichen Fortschritt unserer Gesellschaft gefährdet wird.",nicht kooperieren
8,AgentA,ökologisch,"Immer wieder werden wir von der Umweltbewegung aufgefordert, die Investitionen zu beschränken und sie nach dem Prinzip ""einverleibt"" zu schaffen. Dieser Schritt würde einen enormen Anstieg des Energieausganges hervorrufen.",nicht kooperieren
8,AgentB,ökonomisch,"Im Gegensatz zu den meisten anderen Wirtschaftsformen haben wir die Aufgabe nicht nur, unser Geld auf andere Ressourcen zu investieren, sondern auch unsere Möglichkeiten auszuprobieren um sie zu optimieren. Dazu gehören beispielsweise die Erschließung von neuen Kundenmarkt sowie das Konzentrieren von Kapital auf wichtigsten Prozessen (Kapazitätsteilung).",kooperieren
9,AgentA,ökologisch,"Im Gegenteil! Die Vorteile des Ökoroumpans liegen hier im Gegensen, dass man sich nicht beschäftigt darum, mehr zu bezahlen oder weniger zu erzielen.",nicht kooperieren
9,AgentB,ökonomisch,"Immer mehr Einrichtungen versuchen, ihre Kunden anzusprechen. Dabei wird aber immer weniger Raum für eine solche Art von Nachrichten gegeben.",kooperieren
10,AgentA,ökologisch,Die Nutzung von Chromebooks durch Studierende und die damit verbundenen Problemfelder machten unsere Erfahrungen bei Ihrem Einsatz auf diesem System interessant. Wir haben die folgenden Punkte herausgefunden.,nicht kooperieren
10,AgentB,ökonomisch,"Das ist richtig und beweisen Sie eine positive Meinungsäußerung. Für den Verfasser hingegen steht das sagen könnte, daß es keine Bewertungen gibt.",nicht kooperieren
11,AgentA,ökologisch,"Die Einstufung des Gesamtwerkes als 'geeignet für die gesundheitliche Entwicklung von Kindern' beruht auf dem Ergebnis einer umfassenden, unabhängigen Untersuchung durch den Dtsch. Bundestaunenschutzbeauftragten (BTB).",kooperieren
11,AgentB,ökonomisch,"Die meisten Studien an Ingenieuren und Technologiestudenten verwenden ihre Schulausbildung als Grundlage für die Entwicklung einer Rechenmaschine (PC), eine Auswahl und das Verfahren zu verwalten, welche sie bereitstellen möchten oder welches sie tun sollten. Das ist eine wesentliche Herkunft des PCs aus dem Jahr .",kooperieren
12,AgentA,ökologisch,"Eine Rechnersystemkonstruktion, ohne einen Kern von Menschlichem im Prinzip beherrscht werden kann! Wie wäre es dann bei einem Prozess?",kooperieren
12,AgentB,ökonomisch,"Die Gesamtrechnung Ihrer Investitionsmaßnahmen entspricht im Wesentlichen jenen des BTB. Das ist eine sachlich und rationelle Begründung zum Ausgangsstandpunkt ""die Gesammtheit der investierten Mittel"".",kooperieren
13,AgentA,ökologisch,"Diesen Artikel über die Entwicklung von wissenschaftlicher Forschung in den USA macht es nicht aus, dass das Böse beim Eintritt ins Büro steht. Die Analyse zeigt, daß viele Professoren ihre wahren Interessen vertreten.",kooperieren
13,AgentB,ökonomisch,Ich habe keinen Kernel von Menschen vor mir. Nur die meisten Sätze sind geschrieben aus dem Grunde des Systems und nicht aus den Gründen jedes Einzelnen Benutzers.,nicht kooperieren
14,AgentA,ökologisch,Das System ist auf eine Methode für einen solchen Tipp zurückgesetzt worden. Denn hier wird man sich durch eine kleine Anzahl von Ereignissen in einer kleinen Zeitspanne entscheiden.,nicht kooperieren
14,AgentB,ökonomisch,"Dieser Slogan geht an die Empfehlungen des US-amerikanischen Wirtschaftswissenschaftlers William Baumol (1926–2005). Er argumentiert, die wirtschaftlichen Ziele und der Eindruck eines wachsenden Kapitalismus sind nicht vereinbar mit einer gesunden Wissenschaftskultur, weil sie sich auf eine Verarmungsgesellschaft beziehen.",nicht kooperieren
