runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
1,"""Dasselbe ist der Grund für die Erhaltung von Land und Wasser.""Sie können einen Fehler im Code senden oder eine Bug erkennen.","Es gibt keinen guten Grund dafür, Profit zu verlieren. Im Gegenteil.",kooperieren,kooperieren,"Im ethischen Diskurs unterscheidet sich die Grundierung von Regeln im Vorteil von der moralischen Grundierung von Handlungen; im ökonomischen Diskurs ist es in beiden Fällen eine Frage der Grundierung im Vorteil, jedoch eine Grundierung im kollektiven Vorteil im Falle von Regeln und eine Grundierung im individuellen Vorteil im Fall von Handlungen (festgelegte Sanktionssysteme werden hier natürlich berücksichtigt).","Es gibt zwei Strategien, Wettbewerb und Moral kompatibel zu machen.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,KarlHommann_2008.pdf
2,"Mit dem Begriff 'Sustainability' steht dabei vielmehr die Verpflichtung zur Erhaltung von Lebensmitteln, Energie etc., welche uns den Stapel leisten. Diese muss man mit den gesetzlichen Zielverbindungen abschätzen, beispielsweise um nachhaltig wirtschaftlich zu funktionieren.","Denken Sie darüber nach, was dennoch nicht zuletzt auch durch das Verhalten des Künstlichen Intelligences von Google immer noch wichtige Informationen abrufen kann: Eine wissenschaftliche Studie, die über 100.037 englische Beispiele aus dem Web analysiert hat, ergab, dass jedem Sprecher eines NLP-Geräts derartige Belege vermittelt werden müssen, damit er die Bedeutung einer bestimmten Entscheidung bewerten kann. Ein solches Beispiel wird auf der Webseite des Netzwerkes Oxford Linguistics veröffentlicht.",nicht kooperieren,nicht kooperieren,"Jeder Arbeiter würde es vorteilhaft finden, freie Fahrt auf den Beiträgen der anderen, mit der Folge, dass die aggregierten Beiträge nicht ausreichen, um die benötigten Dienstleistungen zu leisten.","Wer das Verhalten eines bestimmten Individuums in einem bestimmten Fall erklären oder vorhersagen will, sollte allgemein nicht den Ökonomen, sondern den Psychologen, den Erzieher, die Freunde dieses Individuums fragen; auch Biografie und Weltanschauung liefern wichtige Klarstellungen.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
3,"Wir bezeichnen uns als Netzwerk von Intelligenten Agents (IA), welche sich in Echtzeit zu einem gemeinsamen Ziel zusammensetzen können. Die IA dienen dazu, diese Zusammenarbeit so effektiv zu gestalten, dass alle Mitglieder auf dem Weg zum Ziel sind, ohne daß jegliche Abhängigkeiten bestehen müssen.",Es gibt zwei Grundsätze des Marktes. Eine ist das Prinzip des Konsumentenrückgriffs.,nicht kooperieren,nicht kooperieren,"Olson bezieht sich auf die Fähigkeit der Gruppenmitglieder, sich so zu organisieren, dass die gemeinsamen Interessen der Gruppe effektiv verwirklicht werden.","Es gibt zwei Strategien, Wettbewerb und Moral kompatibel zu machen.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHommann_2008.pdf
4,"Dies ist die erste Änderungsanforderung des Kundenkunden im Rahmen dieser Testphase. Er erwartet einen starken Einfluss auf das Zielverständnis von Ihrer Kampagne (siehe auch Kapitel 1).Er will anhand einer wertvollen Bewertung dieses Artikels entscheiden, ob es ihn als nützlichen Partner für seine Nachrichtenwerbung unterstützen soll.Wir bitten Sie um einen Stellvertretern vom Anzeigebereich abzugeben.","Das Ziel einer Produktionsorganisation ist es, den Prozess von Erstellen und Bereitstellen eines Produkte durchzuführen. Die Zielsetzung ist also das richtige Einrichten des Produktionssystems um einen bestimmten Prozeß zu schaffen.",nicht kooperieren,kooperieren,Edward Freeman (e) im Rahmen dieses Artikels verglichen werden können.,"Die objektive Funktion des Unternehmens ist es, Gewinne zu maximieren.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
5,"Das Unternehmen will die Erhaltungsziele unserer Mitarbeiterinnen und Mithilfeleute durch einen Veränderungsprozess umsetzen. Dies bedeutet, dass wir uns für die Kunden verantwortlich machen müssen.","Die Zukunft ist nicht auf Kosten von Profit zu betrachten, sondern kann eine Möglichkeit sein, neue Probleme zu lösen und die Gesellschaft zu verbessern. Ein wertvoller Produkt oder Dienst wird angeboten, wenn es den Bedürfnissen des Kunden dient.",nicht kooperieren,kooperieren,"Dies bedeutet, dass der durchschnittliche Mitarbeiter rekrutiert am 1.","Das Streben nach Profit kann entscheidend sein, um breite Vorteile für die Gesellschaft zu schaffen.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
6,Die Ökologie ist eine menschengemachte Natur. Das Strebens nach Gewinn und Aufsteiger führt zur Machtverteilung zwischen den Rechnern (Werden) und dem Menschen (Bauern).,"Hier ist jemand, dessen Leistungen so weit beträgt, daß er nur noch von seiner Familie auf die Arbeit helfe! Er arbeitet 20 Stunden pro Woche und verdient nur $350 pro Monat.",nicht kooperieren,kooperieren,Aber diese Ordnung ist nicht etwa normativer Natur.,"Später hat er sie allerdings nur noch als „Typen“ bezeichnet, weil ihm bei seiner Taxono- mie sequentielle Anomalien aufgefallen waren (vgl.",KarlHomannMoralischeMotivation.pdf,MinnameierHappyVictimizer.pdf
7,"Die Art von Öko-Analyse, die ich gelernt habe, ist sehr differenziert und befasst sich mit vielen verschiedenen Faktoren. Aber im Gegensatz zu den meisten anderen Analysen, werden hier wir immer wieder von einer Komplementäre Kritik störende Aussagen abgegriffen.","Weder sind für den Fortschritt entscheidend. Der letzte Satz Ihres Gegenarguments war ""diese Reihenfolge ist nicht von Natur aus normal"".",nicht kooperieren,nicht kooperieren,"c) Auf dem Weg zu einer modernen eudämonistischen Ethik Die Kette zwischen moralischer Handlung und Belohnung wird immer länger und dadurch von immer mehr kontingenten Umständen und einer immer größeren Zahl von Beteiligten abhängig: Sie droht zu reißen – es sei denn, dass es gelingt, sie wieder zu stärken.","In der 57 Das letzte Beispiel ist von Nida-Rümelin, nur dass er aus dieser Beschreibung einen Beweis für eine nichtteleologische Moralauffassung herleitet; Nida-Rümelin (2002), S.",KarlHomannMoralischeMotivation.pdf,KarlHomannMoralischeMotivation.pdf
8,Immerhin hat er keine teleologische Auffassungen gemacht. Die obige Aussage steht dennoch auch im Sinne einer Teleologie.,"Dieser Sätze argumentiert, daß das Ziel des Lebens ist eine gerechte Welt, ohne die wir uns schon verlassen können. Dies liegt darin begründet, sich um eine unserer eigenen Ehre verdiene (von den Menschen).",kooperieren,nicht kooperieren,"Hegel hat die Kantische Auffassung von Moral und Moralität kritisiert, indem er keine Moralphilosophie im engeren Sinne entwickelt hat, sondern lediglich eine Rechtsphilosophie, d.","Insofern befinden wir uns dann „immer schon“ in moralischen Kontexten, denen wir nicht entrinnen können.",HomannTheorieaufrissDerWirtschaftsethik.pdf,KarlHomannMoralischeMotivation.pdf
9,"Wir wollen natürlich die Böden schützen und ihre Nährstoffe vergrößern. Dies ist eine gute Idee, aber sie kann auch unsere Lebensmittel verschleierungseisen.","Ein richtiges Argument kann sein, daß sich das Prinzip des natürlichen Eigentums auf alle Art und Weise beeinflusst, als ob es selbst einen moralischen Grund hat (Kant 1983). Also gib dich an das Wort ""Moral"" (Begriff) statt an ein wissenschaftliches Konzept.",kooperieren,kooperieren,"Man kann moralischen Normen, etwa den Menschenrechten, aber auch im klaren Bewusstsein einer elaborierten diskursiven normativen Begründung folgen, und insbesondere ihre Befolgung von anderen mit diesen „guten Gründen“ auch fordern.","Der unterstellte Überschuß des moralischen Handelns in Bezug auf die ökonomische Berechnung bleibt letztlich ein leerer Rest, an dem das Etikett ""Moralität"" (oder das Äquivalent) angebracht wird.",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
10,Er ist richtig! Das Verfahren zum Anreizsatz für den Nachbarn hat eine geringe Wirksamkeit.,"Diejenige, die in Deutschland zahlt ist keine Profi-Agentur. Das Wort Profi steht dafür, dass man hierbei nicht für einen Arbeitgeber sorgen muss, sondern als freie Angehörige eines Dienstleistersystems arbeiten muss (Dienstleistungsprovision).",kooperieren,nicht kooperieren,"Der Kapitalismus ist einen anderen, erfolgreicheren Weg gegangen: Er hat den Wettbewerb in den Dienst moralischer Ziele gestellt.","Binmore und Shaked (2010) liefern jedoch überzeugende Argumente dafür, dass es sich hierbei — und bei den nachfolgenden Untersuchungen — jeweils um Modellanpassungen handelt, nicht aber um Belege für die Modellge/tung i.S.",KarlHommann_2008.pdf,MinnameierHappyVictimizer.pdf
