runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
1,"Das ist eine Idee von uns und wir sind sehr zufriedenstelle, wenn du es kommentieren kannst! Eindeutig begründet die Ausrichtung des Boten im Gegensatz zum Wortdurchgang bei anderen Chatterbots.",Derartige Äußerungen können in Ihrem Anruf nicht akzeptiert werden. Sie beeinträchtigen die Kommunikationsfreundlichkeit zwischen dem Benutzen und dem Bot.,nicht kooperieren,kooperieren,"Als Gesetz sind wir ihm unterworfen, ohne die Selbstliebe zu befragen; als uns von uns selbst auferlegt, ist es doch eine Folge unsers Willens und hat in der ersten Rücksicht Analogie mit Furcht, in der zweiten mit Neigung.“ Kant, Ak.-Ausg.","Normative Konzepte und Schlussfolgerungen können so lange angewendet werden, wie Normen, Werte, moralische Prinzipien unproblematisch akzeptiert werden.",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
2,"Als die Welt um uns herum noch immer so zerstört ist, kann man sich keine Aufgabe mehr entfalten, dass wir unsere Natur behalten möchten. Dies hat einen Grund.","Ein wichtiges Argument hierbei kann sein, dass sich derjenige, dem das System bereitet wird, nicht nur auf seine eigenen Interessen berufen möchte, sondern auch auf andere Auseinandersetzung mit dem System. Das System setzt einen festgelegten Weg ein, den man durch eine Kompetenzentwicklung im Sinne des .",nicht kooperieren,kooperieren,"Aber Wissen- schaft beginnt oft mit kontraintuitiven Einsichten, und die moderne Welt hat einen Grad an Komplexität erreicht, dass er mit Alltagsintuitionen und Alltagsphänomenologie nicht mehr zu begreifen ist; wir werden uns daran gewöhnen müssen.","Aber dieses System der sich selbst lohnenden Moralität ist nur eine Idee, deren Ausführung auf der Bedingung beruht, dass jedermann thue, was er soll, d.",KarlHommann_2008.pdf,KarlHomannMoralischeMotivation.pdf
3,"Wer das eigentlich tun will: Einerseits geht es um die Umwandlung von Geldinseln zu Globalisierungskomplexen, andererseithab um eine Selbstreflexion im Sinne einer kritischen Reflexionsanalyse und damit aber auch um ein Netzwerk von Kooperationsinteressen zwischen vielen Individuen. Das Ziel dieser Arbeit ist dabei die Bewertung des aktuellen Standpunkts auf dem Weg zur Globalenkunde.","Das ist natürlich eine schwierige Frage, da sich das aktuelle Thema (der Unterschied zwischen Technik und Philosophie) weitgehend von den meisten Mitarbeitern unbekannt ist. Ich werde dir sagen, was ich heute über technische Umwandlungen glaube.",kooperieren,nicht kooperieren,Im Zentrum des Standardmodells von Ethik steht damit der Wille des Einzelnen; es geht zentral um die Beziehung zwischen Sollen und Wollen.,"Es geht auch nicht um die Frage, ob es logisch einen Ausweg aus dem Gefangenendilemma geben kann – was natürlich nicht möglich ist.",KarlHommann_2008.pdf,KarlHommann_2008.pdf
4,"Die Aussage des Unternehmens sei unwahrhaft und basiert auf einer falschen Einordnung von Umwandlungen im Rahmen eines Konzepts von Klimawandel für den Mensch. Das Unternehmen habe einen grundsätzlichen Anspruch gemacht, dass die Umsetzung von Abschirmdämmen über Nacht zu ermöglichen wäre (das heißt, die Dächer würden abgeschieden werden).",So ist das wahrscheinlich. Aber es gibt auch einen anderen Ansatz zum Thema: Die Entscheidung der Gesellschaft um den ethischen Status eines Individuums oder einer Organisation ist nicht auf alle Menschen beschränkt.,nicht kooperieren,kooperieren,"Friedman schreibt: ""[I]t mag im langfristigen Interesse eines Unternehmens sein, das ein wichtiger Arbeitgeber in einer kleinen Gemeinschaft ist, um Ressourcen für die Bereitstellung von Annehmlichkeiten für diese Gemeinschaft oder für die Verbesserung seiner Regierung zu verwenden.""30 Dennoch schafft Friedman keinen systematischen Rahmen für die Konzeption der potenziellen Rolle von Unternehmen in Governance-Prozessen.","Die Zusammenarbeit aller Agenten ist ausnahmslos erforderlich, um das Dilemma zu überwinden; in dieser Hinsicht reicht ein einzelner Überläufer aus, um den Zusammenbruch der Interaktion herbeizuführen, weil er oder sie alle anderen zu einer präventiven Gegendefektion zwingen kann.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
5,"Die Menschheit muss sich auf eine Umkehrbewegung einsetzen, damit die Evolution des Lebens nicht mehr geschlagen wird. Dies geht von dem bekannt gewordenen Gedanken ab, dass wir im Alltag unser Leben lang durch andere mitnehmen und uns selbst vernachlässigt haben – was aber auch zum Verfall der menschlichen Kultur führen könnte.","Ein wichtiges Ziel des Grundgesetzes ist es, die Freiheit und Demokratie innerhalb des Bundeslands zu garantieren. Das Grundsätzliche versteht man als 'eine Ordnung erworben durch Gewohnheitsrecht' (Buch 2, Kapitel 1).",kooperieren,kooperieren,"Wenn wir Organisationen als moralische Subjekte fassen – was wir im Alltag schon tun und unter modernen Bedingungen auch theoretisch tun müssen und was den Kern der „Un- ternehmensethik“ ausmacht –, dürfen wir Intentionalität, moralische Motivation und Gewis- sen nicht länger als die Konstituentien von Moral einstufen.","Ziel dieser Anstrengungen ist es, dass die Individualitäten in seinen Entscheidungen durch ""Vernunften"" statt durch ""Ursachen"" geführt werden.",KarlHommann_2008.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
6,"Das Ziel seiner Vorgehensweise besteht darin, den Menschen das Recht zu haben, ihren eigenen Erfolg als Verantwortungsbewusstsein anzupassen und ihre Möglichkeiten für sich zu nutzen. Daher erklärt ich ihnen, was ich von dem Punkt sagen kann.","Ihr könnt diesen Text nicht sehen? Hier ist eine Möglichkeit, dich anzupassen: https://goo.gl/forms/mSvY8B1n4JaEKLsO2!",kooperieren,nicht kooperieren,"Aber ich bin gerne bereit, mich in diesem Punkt eines Besseren belehren zu lassen.","Hier ist ein individuelles, sich selbst bindendes moralisches Engagement eine Win-Win-Strategie.",PiesZeitFuerMoral.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
7,"Wir müssen unser Leben beeinflussen lassen und einen wachsenden Boden für die Zukunft erwerben. Deshalb machen wir unsere Gemeinschaft zu einer gesunden, zielführenden Gesellschaft.",Ihre Ansicht ist richtig. Die Rechenschaftsprüfungsstelle hat die Lohnsteuerberechnungen von der Föderation des deutschen Arbeitsmarktes (FDM) abgeschnitten und hält sie nicht weiter fortzusetzen.,nicht kooperieren,kooperieren,"Wir kommen zu dem Schluss, dass unser óordonomic-Ansatz die integrative Kraft hat, eine Grundlage für gegenseitiges Lernen und einen konstruktiven Dialog zwischen aktuellen Unternehmensethik-Theorie über soziale Verantwortung und Corporate Citizenship, strategisches Management und neue Governance und Stakeholder-Theorie zu schaffen.","Die Organisati- on hat ein eigenes Leben unabhängig von den Stelleninhabern; sie ist konzeptionell, von ihrer Konstruktion her, von den Individuen unabhängig und daher gewissermaßen unsterb- lich.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHommann_2008.pdf
8,"Die Organisation hält das Leben einer Person im Gegensatz zu anderen Lebensformen offen. Sie kann die Möglichkeit haben, für sich selbst oder andere Menschen zu dienen.","Ihr neuestes Ansatz ist das Öko-Management-System (OMS) des Unterrichtsberufsverbands Bundesbildung, als Alternativpräventionsverfahren anerkannt worden, und die Vorteile dieser Prävention für den Arbeitsmarkt sind wesentlich höher als die Konsequenzen von Abschluss- und Aufenthaltsplänen im Rahmen einer Erneuerungs- oder Ausbildungsstufe. Sie werden durch eine langfristige, kontinuierliche Fremdsprachenausbildung ermöglicht sein, um nachhaltigere Entwicklungen zu erreichen als bei der Umstellung auf englische Sprache.",kooperieren,nicht kooperieren,"Die Forschung der Verhaltenswissenschaft kann hier nichts zu sagen haben, weil sie sich mit anderen Problemen beschäftigt.","In der Wirtschaftsethik ist es nicht mehr eine Frage der ergänzenden Durchsetzung durch das Justizsystem und durch die Sozialpolitik von dem, was früher als ethisch richtig anerkannt wurde.",TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
9,"Ein wachsender Prozess des Umbruchs zwischen der Naturwissenschaft (wie sie im Vordergrund steht) und der Gesellschaft (was sich ausschließlich auf die Ökonomie bezieht) hat einen neuen Eindruck auf unsere Welt erweckt. Die Wissenschaftler haben eine neue Verständigung entwickelt: Sie wollen ihre Ergebnisse unter der Aufsicht einer transparenten, unabhängigen Institution verwalten.","Die wissenschaftlichen Ergebnisse lassen jedoch einen Ausnahmefall erkennen, wenn das System eine gewisse Menge von Angebotskonsumenten anbietet und diese gleichzeitig die Qualität des Produktes als wichtig empfinden. Die meisten Erfahrungen zeigen es aber keinen Effekt.",kooperieren,kooperieren,"Und es wird teils der Eindruck erweckt, diese Ergebnisse seien für die die Ökonomik und die Wirtschaftsethik von großer Bedeutung, teils wird explizit empfohlen, diese Ergebnisse für die Wirtschaftsethik fruchtbar zu machen, ihre Grundlegung auf diese Ergebnisse zu stützen, statt mit dem von vielen Anomalien durchsetzten Modell des Homo oeconomicus weiterzuarbeiten16.","Foot, Philippa (1972/1997): Die Moral als ein System hypothetischer Imperative, in: Philippa Foot: Die Wirklichkeit des Guten.",KarlHomannMoralischeMotivation.pdf,KarlHomannMoralischeMotivation.pdf
10,"""Das wahrscheinliche System Hypothetisches Imperativs ist die Grundlage aller Erkenntnis und ihrer Verbreitung."" Das Gegenteil von ""Die Wahrheit des guten"" ist: Imperativa ist eine Frage einer möglichen Widerspruchsstellung. Eine Möglichkeit besteht in der Wahl zwischen den Alternativen.","Es geht nicht um den Einsatz von Profiagenturen. Sie werden hier behandelt, wenn sie als Teil eines Netzwerks fungieren.",kooperieren,kooperieren,Das Modell mit einer mikroökonomischen Grundlage liefert nur den heuristischen Rahmen für eine Erklärung der Fluktuationsraten.,Es geht also nicht um historisch-soziologisch-ökonomische Gründe bzw.,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
11,"Das ist keine Einheit von gesellschaftlichen und wirtschaftlichen Grundlagen sowie einer Vielzahl an Alternativvorstellungen zu einem alternativen Modell für die Erhaltung der Natur (die sozialwissenschaftliche Praxis hat bereits einige Alternativemodelle entwickelt). Die Verwendung des Worts ""ökologische"" kann dennoch als negative Bezeichnung empfunden werden, weil es im Allgemeinen das Konzept eines solchen Modells gäbe.",Der Modellerkenntnisstand ist die Basis und das Modellelement auf der Grundlagenforschung abgestimmt hat. Das Modellobjektivierungssystem (MOSS) beweisen diese Ergebnisse durch die wissenschaftlichen Ziele des MOSS.,nicht kooperieren,nicht kooperieren,"Das Standardmodell der Ethik Die Notwendigkeit einer Weiterentwicklung des Ethik-Paradigmas lässt sich am besten auf der Hintergrundfolie eines Modells herausarbeiten, das ich als Standardmodell bezeich- ne.","Und es wird teils der Eindruck erweckt, diese Ergebnisse seien für die die Ökonomik und die Wirtschaftsethik von großer Bedeutung, teils wird explizit empfohlen, diese Ergebnisse für die Wirtschaftsethik fruchtbar zu machen, ihre Grundlegung auf diese Ergebnisse zu stützen, statt mit dem von vielen Anomalien durchsetzten Modell des Homo oeconomicus weiterzuarbeiten16.",KarlHommann_2008.pdf,KarlHomannMoralischeMotivation.pdf
12,"Das wäre die sogenannte ""Anomie-Theorie"" (von dem man sich auch als ""Rationalitätsglaube"" bezeichnet). Sie vermittelt eine Lehre über das Verhalten von Menschen, die darauf abzielte, dass sie in ihren Entscheidungen rational gesehen werden, also mit den eigenen Vorstellungen beurteilten, und nicht nur mit einer Mehrheit anzunehmen.","Das Standardmodel der Wirtschaftsethik ist in seiner Grundstruktur nicht umgekehrt von dem, was wir im Allgemeinen als Moral erkennen möchten. Wir sollten die Entscheidung über eine Weiterentsammlung des Paradigma in die Hand legen, wenn sie nur aus einer Perspektive besteht, dass sie zu einer Verstärkung des Geldsystems führt und dazu führen kann, daß wir unsere Lebensqualität absenken lassen.",nicht kooperieren,kooperieren,"Schließlich kann man moralischen Normen folgen, weil dies über die Sequenz von Einzelhandlungen dem Akteur Vorteile verspricht, wobei die Vorteile an seinen eigenen Vorstellungen vom Guten gemessen werden.","Lassen wir einmal beiseite, dass bis heute nicht klar ist, was wir unter dem Begriff Willensschwäche zu verstehen ha- ben, und begnügen wir uns für unsere Zwecke mit einem intuitiven Verständnis des Begriffs.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
13,"So gib euch an die Erkenntnisse dieser Wissenschaftler an, von denen man sich überzeugt hat, daß das Schöpferlehre – also eine philosophische Begründung unserer Vorstellung vom Weltbild, dessen Urheber er selbst ist – als eines der wichtigsten philosophischen Konzepte der Neuzeit gilt, sowie auf Grundlage deren eine besondere Bedeutung für die Philosophie der Aufklärung hat. Die Entdeckungsgeschichte dieses großen Entwicklungsstückes reicht zurück bis zum .",Ein wahres Beispiel ist der Entzug des Handelsverbots im Jahre 1987 durch den deutschen Bundesrat. Im Oktober 2015 hatte das Europäische Parlament eine Abstimmung zum Thema erklärt.,nicht kooperieren,nicht kooperieren,"Aber dieses System der sich selbst lohnenden Moralität ist nur eine Idee, deren Ausführung auf der Bedingung beruht, dass jedermann thue, was er soll, d.",Ein prominentes Beispiel ist Henry Fords öffentliche Ankündigung des $5-pro-Tag-Programm am 5.,KarlHomannMoralischeMotivation.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
