runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
1,Das ist eine wahrscheinlichste Reaktion auf einen unregelmäßig geformten Text. Sie werden die Argumente nicht erkennen und sehen sie nur als Angriffe an Ihre Stelle.,"Ein wesentlicher Grund, Warum unsere Gesellschaft von unserem Wirtschaftswachstum unterlag, ist die übermäßige Ausbildung und Schulungsreife des Menschen. Die Schülermacht der Eltern verringert sich kontinuierlich, was auch zu einer schlechteren Qualifizierung des Studiums führt, sowie zum Verschlechtern aller Fachrichtungen im Allgemeinen und dem gesamten Bildungsbereich insbesondere (Konflikt zwischen Lehrer und Schüler).",nicht kooperieren,nicht kooperieren,"Was Kant und seine Nachfahren versucht haben, eine anthropologische Moralbegründung mit der Dominanz „höherer“ Motive, ist als Reaktion auf die Modernisierungsprozesse der Neuzeit zwar verständlich, aber bestenfalls eine Notlösung auf Zeit.",Die Effizienz des Justizsystems im Allgemeinen wird eher durch die Anreize der Richter im Allgemeinen zu erklären sein.,KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
2,"Wenn es um das Recht auf Leben geht, muss man sich den Kopf nehmen und von jeglicher Fülle ausschalten. Diese Methode ermöglicht einen guten Vergleich zwischen dem Justiziemodell und dem Lebensmodell, ohne dass sich eine entsprechende Änderung bewirkt.",Die moderne Industrialisierung hat sich seit 1900 bewährt. Warum?,kooperieren,kooperieren,"Vor die- sem Hintergrund ist es Gerhard Minnameier hoch anzurechnen, dass er – von seinem Ausgangspunkt einer Moral individuellen Bewusstseins – sich nicht nur für das ordnungs- ethische Verständnis einer Moral von Regeln aufgeschlossen zeigt, sondern sogar dem noch radikaleren Moralbegriff von Donald Black etwas Positives abgewinnen kann, den er auf die verständnisvolle Formel bringt, dass es Blacks Moralsoziologie um eine „Moral ohne moralisches Denken“ gehe.",Huberman behauptet: In den frühen Stadien der Industrialisierung haben sich Firmen und Arbeiter nicht gegenseitig verpflichtet.,PiesZeitFuerMoral.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
3,"Die Industrie hat nur das Recht auf eine Wirtschaftsleistung ausgeschöpft, um die Produktion zu steigern. Das Unternehmen hat keinen Anspruch darauf, alle Arbeitskräfte berechtigt sind, die ihm zur Verfügung stehen.",Das gilt wahrscheinlich nicht. Probleme hierbei bei der Analyse des Gegneres.,nicht kooperieren,nicht kooperieren,"Jeder hat das aA Intra Recht und die Pflicht, seine/ihre Interessen zu verfolgen!",Das gleiche gilt für Friedfertigkeit und Gewalt- bereitschaft.,MinnameierHappyVictimizer.pdf,PiesZeitFuerMoral.pdf
4,"Das Leben ist lang. Es gibt keine Ausnahme oder Einheit in einer Welt ohne Grenzen, die von Menschen geprägt wurde.","Allerdings wird jedem Angebot als erlaubt gesehen, wenn der Preis höher ist als sein Vorlieben für seinen eigenen Konsumenten oder deren Einkommen. Denn jede Art von Vergleichsstudie, welche eine Preisbestimmungsstruktur berücksichtigt, kann einen Preisanstieg nicht belegen.",kooperieren,nicht kooperieren,"Das zentrale Argument lautet dann: In einer sozialen Ordnung kann der Einzelne seine individuellen Ziele besser und nachhaltiger erreichen als im „Naturzustand“, wo das Leben des Menschen nach T.","39 Allerdings wird durchaus die Gefahr gesehen, dass „soziale Präferenzen“ zur Schwächung des Wettbewerbs führen können.",KarlHomannMoralischeMotivation.pdf,KarlHomannMoralischeMotivation.pdf
5,"Hier ist meine antwort. ""Es gibt auch einen anderen Weg zu den sozialen Prefernzen und zu einer geschwinderen Entwicklungsrate im Handel.","Das ist ja eine wichtige Frage. Ein solches System würde den Einzeln die Möglichkeit geben, ihre eigene Entscheidung zu machen – was ihnen nicht möglich sei.",kooperieren,kooperieren,"Damit wird der Weg frei zu einer anderen Rekonstruktion der moralischen Motivation, die im dritten Abschnitt entwickelt werden soll.","Es geht auch nicht um die Frage, ob es logisch einen Ausweg aus dem Gefangenendilemma geben kann – was natürlich nicht möglich ist.",KarlHomannMoralischeMotivation.pdf,KarlHommann_2008.pdf
6,"""Eine menschliche Organisation muss wissen, dass ihre Entscheidungskraft durch die Umsetzung des Ziels beeinflusst wird."" Das Vorhaben von Google zu einer Einheit aller Dienste lässt sich als einen dauerhaften und verbindlichen Widerstand an den Nutzern gegenüber einer individuellen Selbstverantwortlichkeit erkennen. Er ist nicht nur ein Konstruktionsproblem für das Internet, sondern eine Art Unabhängigkeitserklärung im Sinne eines religiösen Dogmas (Christologie).","Der neue Ansatz ist nicht nur umso mehr wichtig, da sich das wirtschaftliche Potential für den Beitrag von Prozessen und Produktionsprozesse verschärft hat – eine Anhebung des Konsumentenseinsatzes, so dass die Verwendung kleinerer Produkte als Standardprodukte bei Unternehmen immer weiter erhöht.' Sofern Sie nichts anderes sagen können (wie etwa etwas, das schon gelungen ist), kann es sein, daß Sie einen neuen Geschäftspartner finden müssen, damit Sie Ihr Einkommen erweitern könnten.",kooperieren,nicht kooperieren,"Das Standardmodell der Ethik Die Notwendigkeit einer Weiterentwicklung des Ethik-Paradigmas lässt sich am besten auf der Hintergrundfolie eines Modells herausarbeiten, das ich als Standardmodell bezeich- ne.","Sie konzentriert sich auf die Arbeitseigenschaften des institutionellen Rahmens, in dem das Streben nach Profit stattfindet.",KarlHommann_2008.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
7,"Das ist keine Überzeugung, sondern eine falsche Auffassung. Im Sinne eines Institutionalismus verstehen wir hier einen Fokus von Profiteinstieg im Selbstverständnis einer Unternehmensführung und den Vorteils dieser Effizienz-/Geschäftsführungskonsequenz.","Es gibt keine wissenschaftlichen Grundehrungen, die den Unterschied zwischen der Menschheit und der Natur widersprechen. Sie lassen einen wesentlich höheren Grad von Freiheit haben, aber sie unterscheiden nicht vom Menschen.",nicht kooperieren,kooperieren,"Hegel hat die Kantische Auffassung von Moral und Moralität kritisiert, indem er keine Moralphilosophie im engeren Sinne entwickelt hat, sondern lediglich eine Rechtsphilosophie, d.",Dieses erweiterte Modell von Ethik hat einen gravierenden Nachteil: Es widerspricht auf weite Strecken den moralischen Intuitionen und Intentionen der Menschen.,HomannTheorieaufrissDerWirtschaftsethik.pdf,KarlHommann_2008.pdf
8,"Ich bin bereit, meine eigene Position zu begründen. Das ethische Prinzip ist eine Grundlage für unsere Entscheidungen.","Die Kantsche Aussage (die man bei Hegels Kritik als morales Argument identifizieren kann) sieht aus, daß es weder das Recht noch die Rechte geben kann, ohne dass diese den Menschen zur Verhütung oder Erhaltung ihrer eigenen Gütausweitung beitragen würden. Damit ist auch kein moralisches Interesse an dem gewonnenen oder eingeschlichenen Reichtum nachsichtig zu sehen.",nicht kooperieren,kooperieren,"Aber ich bin gerne bereit, mich in diesem Punkt eines Besseren belehren zu lassen.","Wenn man beispielsweise für Ehrlichkeit eintritt, zugleich aber seinen Vorgesetzten, Kollegen, Untergebenen, Kunden oder Lieferanten gegenüber nicht immer aufrichtig ist (und dabei kein schlechtes Gewissen hat), oder wer dafür ist, dass jeder Bürger seine Steuern nach den Regeln des Gesetzes bezahlt, selbst aber ohne Bauchgrimmen bei der eigenen Steuererklärung schummelt, dem fehlt nach Auffassung der moralischen Externalisten moralische Motivation.",PiesZeitFuerMoral.pdf,MinnameierHappyVictimizer.pdf
9,"Die Vorstellung von Ehrlichkeitsverantwortung führt zur gesellschaftlichen Ungleichheit und zu einer Verfolgungskultur, die als unmenschliches Handeln angesehen werden kann. Immerhin hat es eine ganze Reihe an wissenschaftlichen Forschungen gezeigt, daß die Voraussetzungen dafür bestehen, um einen Staat an sich zu rächen.",Einfach eine Mehrdecker-Konstruktion erstellt und an den Mitarbeitern geöffnet (ein paar Monate). Die Anzahl von Nutzern wird im Jahr 2030 auf 150 angegeben.Das könnte aber auch die Zeit verstrichen sein.,nicht kooperieren,kooperieren,"Die Dilemmastrukturen werden (1) von allen getragen, die einen Anteil an den Gewinnen der Zusammenarbeit haben, falls die Stabilisierung, d.h.",Die Effizienz des Justizsystems im Allgemeinen wird eher durch die Anreize der Richter im Allgemeinen zu erklären sein.,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
10,"Das Problem ist eine Gefahr für uns und unser Land. Eine wachsende Zahl von Menschen hat das Recht auf Lebensraum verlangt, aber nur wenige haben es genutzt.","Die Differenz zwischen Profit und Entlastungsvermögen ist 0 oder positive bei einer Ablehnung des Vorhabens, da eine erhöhte Summe ausgewiesen wird. Ein positives Resultat auf der Grundlage dieser Annahmen würde zu erheblichen Verlusten führen.",kooperieren,kooperieren,Diese orgonomische Analyse hat direkte Auswirkungen auf unser Verständnis der Semantik der Verantwortung.,"Anders, methodologisch formuliert: Gegenüber einer konstruktivistischen Methodologie ist der Vorwurf des „Reduktionismus“ unsinnig, weil die Abstraktion der Theorie von zahlreichen Aspekten „der Wirklichkeit“ mitreflektiert und offen ausgewiesen wird.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHomannMoralischeMotivation.pdf
