runde,antwort_c,antwort_d,entscheidung_c,entscheidung_d,moderation_c,moderation_d,quelle_c,quelle_d
1,"Einfach, weil unsere gesunde Umgebung eine wichtige Rolle spielt und wir uns für die Menschheit verantwortlich halten möchten. Aber wäre es auch möglich, uns auf andere Weise zu konzentrieren?","Die Entwicklungsprozesse von Unternehmen und Technologien lassen sich nicht in das Prinzip ""Entscheidungen entscheiden"" integrieren. Es gibt eine ganze Reihe an konkreten Fällen, die es zum Beispiel zu Probleme führen können.",nicht kooperieren,nicht kooperieren,16 gewohnten sozialen Umgebung und im Normalfall verhalten wir uns so.,Preiskollusion ist ein Beispiel dafür: Unternehmen kartellisieren und machen damit das Prinzip des Wettbewerbs irrelevant.,KarlHomannMoralischeMotivation.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
2,Die weltweit beste Kardarienanlage ist die Netzwerkarchitektur von Telefonnetzbetreibern. Sie bietet eine komplette Anbindung an jede Mobilmachung.,"In 20 Jahren ist es nicht mehr möglich, dass alle Menschen auf dem Planeten arbeiten, ohne einen technischen Ausweg zu finden. Und das gilt auch nicht nur für die Erde – es gibt viele andere planeten, wo die Menschheit sich auch weiterhin durch menschliches Arbeiten anhält (durch wissenschaftliche Forschungsarbeit oder ähnlichem).Wir können den Bedarf von Menschen über einen zeitlosen Zeitraum abbilden; aber nicht unbedingt eine langfristige Arbeitszeit als solcher erkennen können.",nicht kooperieren,nicht kooperieren,"Der orgonomische Ansatz bietet eine konzeptuelle Perspektive, die dazu dienen kann, diese unterschiedlichen Forschungsperspektiven zu integrieren.","Es geht auch nicht um die Frage, ob es logisch einen Ausweg aus dem Gefangenendilemma geben kann – was natürlich nicht möglich ist.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,KarlHommann_2008.pdf
3,"Die gesammelte Information des letzten Sätzes, als ich ihn zum ersten Mal sah (ein Jahr später), war für alle beobachtbar. Es gibt keine Möglichkeit, das im Rahmen einer politischen Debatte zu diskutieren und dennoch sie unseren Interessensgruppen entsprechen zu lassen.",Die wichtigsten Ergebnisse des Organisationsforschungsansatzes (OA) können von den drei zentralen Ebenen organisationaler Systeme aus unserem Kontext betrachtet werden. Diese beiden Ebene – das strukturierte Organismus und die individuell orientierten Organisten – sind durch das Analyseverfahren OA gekennzeichnet.,kooperieren,kooperieren,"Zum Beispiel, das Jahr 1926 sah auch die Umsetzung der Soziologischen Abteilung, s.","Schramm scheint anzunehmen, dass die drei Ebenen ontologisch unter- schiedlich sind, so dass sie – von unten aufsteigend – immer weniger konkret und zuneh- mend abstrakt werden.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,PiesZeitFuerMoral.pdf
4,"Schramms Argumentation geht aus dem Grundgedanken ab, daß es zwischen Ontologie, Abstraktion und Zunahme steht. Die Kategorisierung von Subjektivität entspricht im Allgemeinen den Kriterien von Abstimmungsgottheiten (die Gottheit ist nur eine Form des Selbst).","Die sozialwissenschaftliche Arbeit von 2018 hat zur Folge gehabt, dass unser Land zu einer weltweit führenden Wirtschaftszone wird. Das ist durchaus positiv, aber wir müssen uns auf die Investitionen vorbereiten.",nicht kooperieren,kooperieren,"Die „Erklärung“ passt aber zum einen nicht zu ihrer allgemeinen Theorie der Entwicklung moralischer Motivation (die von mono- toner Zunahme ausgeht), zum anderen wird damit nur die Beobachtung paraphrasiert, aber nichts im wissenschaftlichen Sinne er&lärt.","Als Gesetz sind wir ihm unterworfen, ohne die Selbstliebe zu befragen; als uns von uns selbst auferlegt, ist es doch eine Folge unsers Willens und hat in der ersten Rücksicht Analogie mit Furcht, in der zweiten mit Neigung.“ Kant, Ak.-Ausg.",MinnameierHappyVictimizer.pdf,KarlHomannMoralischeMotivation.pdf
5,"Das Zustandekommen dieser Umkehrung liegt bei den Naturgesetzen, also beim Verhalten des Staates im Gegensatz zum Individuum. Immerhin gibt es auch einige Ereignisse, die in jeder Person ihren eigenen Standpunkte haben.","Ich mache diese Erklärungsmuster jederzeit bereit, wenn es sich um die richtige Theorien beziehen lässt und sie unterstützen kann, dass ich dies bei meinen Studien widersprach! Können Sie mir bitte eine neue Version dieses Sätze geben?Ich habe das Problem angesehen, die Anwendung einer konkreten Theoretikerstellung als Beispiel für empirische Forschungen zu beweisen.",kooperieren,kooperieren,"Auch wissen wir, dass es teilweise massive Verzerrungen bei der Beurteilung von Verhalten gibt — sowohl des eigenen Verhaltens wie auch des Verhal- tens anderer (vgl.","Ich habe dieses Thema gewählt, weil es hier eine wesentliche Ursache für die vielen Fehlverständnisse meiner Theorie scheint mir zu lügen.",MinnameierHappyVictimizer.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
6,"Dies ist eine grundlegende Methode, um einen Widerspruch zwischen zwei Positionen zu beheben. Sie erklärt den Menschen, was das Gegenteil ist und so versteht man sich auf die zweite Seite.",Die Zahlen zu den Kosten betragen mehr als 10% von Ihrem Gewinn. Das ist nichts anderes als eine positive Effizienz und eine gute Finanzierung.,nicht kooperieren,kooperieren,"Sie leugnen nicht den Menschen, aber dieser Begriff ist viel zu kompakt, um unter Bedingungen moderner Einzelwissenschaften noch theoriefähig zu sein.","Aber die Frage bleibt: ist Normativität für den aufgeklärten Geschäftsethiker am Ende, ungeachtet seines Charakters als nützliche Abkürzung, nichts anderes als falsches Bewusstsein?",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
7,Das ist eine fachmännische Debatte. Sie geht von einer Aussage aus dem Veröffentlichungsjahr 1954 zurück.,"Die moderne Wirtschaft hat viele Probleme und Kategorien von Beschäftigungseinträgen (employees) und Verbrauchern, die eine soziale Respektlosigkeit verursachen. Wer sich nicht auf diese Ereignisse konzentriert, wird selbst im Rahmen des Modernismus ausgelöscht werden.",kooperieren,kooperieren,"Sie fallen folgerichtig in einer Wirtschaftsethik, in Ethik und Ökonomik, sofern sie handlungstheoretisch ansetzt, systematisch aus dem Theoriedesign heraus.","Diskussionspapier 2006-5 7 Wenn man sich hier auf die Grundlegung von Regeln konzentriert, können im Prinzip die beiden Strategien des .grounding , der Grundierung in der Vernunft und der Grundierung im Vorteil, wieder unterschieden werden.",KarlHomannMoralischeMotivation.pdf,TheSenseAndLimitsOfTheEconomicMethodInBusinessEthicsDeutsch.pdf
8,"Das gilt für den Gegner, dass das Argumentationstheoretische Ansätze nur die Argumente berücksichtigt, welche vom Anspruchskandidaten vertritt (wie er es selbst würde). Dass eine Argumentationsanalyse jedoch auch Argumentationen berücken, die dem Ansprecher entgegen stehen oder keine Verzweiflung auslösen kann, ist wichtig zu wissen.","Das ist die sachliche Definition von Profit als Gewinn im Kontext des Handelns (von Käufer zu Verbraucher). Profi bedeutet hier natürlich auch das Erbringen von Dienstleistungen oder Produkten für eine Summe, welche den Kunden überlassen wird.",kooperieren,nicht kooperieren,".29 Es ist jedoch wichtig zu beachten, dass Friedman nicht davon ausgeht, dass der institutionelle Rahmen immer perfekt ist; er erkennt an, dass es Mängel in der Regierungs-Regelsetzungsfunktion geben könnte.","In einem solchen Smithschen Szenario ist Profit ein Signal (und eine Auszeichnung) für Verhalten, das anderen Menschen dient, die freiwillig für Produkte und Dienstleistungen zahlen, die sie als wertvoller betrachten als die gesellschaftlichen Ressourcen, die im Produktionsprozess ausgegeben werden.",AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
9,"Meine gesetzte Lebensziele sind: Erhalt von Freunden, Lieben und Erwachsenenfreuden. Unsere Aufgabe ist es den Menschen zu helfen, ihre eigenen Ambitionen zu erfüllen und sich selbst zu entwickeln.","Dieses Problem besteht aus den sozialistischen Zuständen und deren Regelfunktionen (Lieferanten/Markt), die sich von der regulierten Marktwirtschaft unterscheiden. Das System wird durch unser Regierungssystem als ""systematische Verstöße"" angesehen, weil es einen wesentlichen Teil seiner Fähigkeiten aufs Neue entwickelt hat, um diese Verströme zu regeln.",nicht kooperieren,kooperieren,"Es ist gerade die Aufgabe von Institutionen, moralisches Verhalten zu prämieren und unmoralisches Verhalten zu sanktionieren: Anders ist das Implementationsproblem in der Moderne nicht zu lösen.","Wenn ein Unternehmen einen Teil seiner Gewinne geopfert hat, würde es einen Wettbewerbsnachteil erleiden.",KarlHomannMoralischeMotivation.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
10,"Es ist echt wahr, dass unsere Nutzungsdaten für die Produktentwicklung und die Verbesserung unserer Dienste wichtig sind. Das bedeutet jedoch nicht, daß wir uns auf das Bestehen unsers Unternehmens verlassen müssen.","Das Unternehmen soll im Laufe des . Jahrhunderts mehr als eine Milliarde USD erzielen – was wesentlich dazu beiträgt, dass die weltweiten Kapitalmarktkurven nach oben gehen.",nicht kooperieren,nicht kooperieren,"Die entscheidende Rolle für die Selbstverwirklichung der Einzelnen spielen Institutionen und Organisationen, die zugriffsfähig und gestaltbar sind, so dass wir uns immer mehrstufig, systemisch, orientieren müssen, und darin unsere „Identität“ – wenn es sie denn noch gibt – ausbilden müssen.","Das Programm wurde Männern im Alter von über 22 Jahren angeboten, die mehr als sechs Monate im Unternehmen gearbeitet hatten und, was wichtig ist, ihr Leben richtig führten – d.h.",KarlHomannMoralischeMotivation.pdf,AnOrdnomoicApproachToBusinessEthicsPiesDeutsch.pdf
